,Name,Rating,Reviews,Salaries,Jobs,Loction,Global_Company_Size,Industry,Description
1335,Alembic Pharmaceutical,3.9,298Reviews,348,--,"Headquarters in Vadodara, India",201 to 500 Employees,Biotech & Pharmaceuticals,
1336,Etisalat,3.7,1.4TReviews,36,115,"Headquarters in Abu Dhabi, United Arab Emirates",10000+ Employees,Telecommunications Services,"Emirates Telecommunications (Etisalat) provides telecommunication services in the United Arab Emirates (UAE) and beyond. The company connects about 8 million subscribers over its wireless network in the UAE and millions more across 18 countries in the Middle East, Africa, and Asia through subsidiaries and affiliates. It also provides fixed-line service, Internet access, and data service, as well as wholesale network services to other carriers. Etisalat's total subscribers for all services number more than 100 million. Its EVision unit provides digital cable TV and its E-Marine division installs and maintains submarine communications cables in the Persian Gulf. The UAE government owns about 60% of the company."
1337,Optiva,4.2,321Reviews,130,4,3 office locations,501 to 1000 Employees,Telecommunications Services,
1338,Apps Associates,4.3,276Reviews,158,14,5 office locations,1001 to 5000 Employees,Information Technology Support Services,"Founded in 2002 by former employees of Oracle Consulting Services, Apps Associates has been recognized as one of the fastest growing, private U.S. companies for 4 consecutive years. The company was formed on the principle that ‘there has to be a better way’ to provide high value, quality IT services.

Apps Associates is a global technology and business services organization that provides solutions for Cloud, Analytics and Integration. Our mission is to partner with customers to enable business improvement by streamlining business processes using advanced technology. We innovate by constantly launching new services and solutions and we differentiate through our relentless attention to delivery excellence and customer care. Apps Associates is a Salesforce® Silver Consulting Partner, Oracle® Platinum Partner, and a Premier Consulting Partner with Amazon Web Services. Apps Associates also partners with MuleSoftTM and TIBCO®."
1339,Quatrro,3.8,354Reviews,231,12,4 office locations,1001 to 5000 Employees,"Staffing, Recruitment & Subcontracting","Quatrro is a global services company offering business and knowledge processing services to organizations seeking higher operational effectiveness, greater flexibility and lower operating costs.

For over 21 years companies have been relying on us to leverage the benefits of globalization and gain a competitive advantage.

Quatrro consists of several complementary business lines, each one intensely focused on serving the needs of its target clients with technology-based, expert knowledge services while leveraging the overall resources of Quatrro – operational excellence, global infrastructure and capital.

As a true “Business Transformation Partner” Quatrro leverages its experience as “the pioneers in Business Process Outsourcing” to offer innovative outsourcing solutions which go well beyond labor arbitrage and deliver tangible process improvements to its clients."
1340,Sirius Computer Solutions,4.2,441Reviews,111,--,9 office locations,1001 to 5000 Employees,Information Technology Support Services,"Sirius is a national integrator of technology-based business solutions that span the enterprise, including the data center and lines of business. Built on products and services from the world’s top technology companies, Sirius solutions are installed, configured and supported by our dedicated teams of highly certified experts.

With the right people and the right partners, Sirius is able to focus on solutions to help IT professionals cut costs, increase reliability, ease the burden of management, maximize flexibility, mitigate risk and improve service.

We require our teams to be certified in multiple disciplines and products, so they can help you get from the high-level architecture of a solution all the way down to the technical configuration and implementation of point-products.

Since its founding in 1980, Sirius has grown to be one of the largest IT solutions integrator in the U.S. Today."
1341,Ralph Lauren,3.8,3.9TReviews,33,1.4T,2 office locations,10000+ Employees,Other Retail Shops,"Ralph Lauren Corporation (NYSE:RL) is a global leader in the design, marketing and distribution of premium lifestyle products in five categories: apparel, accessories, home, fragrances, and hospitality. For more than 50 years, Ralph Lauren's reputation and distinctive image have been consistently developed across an expanding number of products, brands and international markets. The Company's brand names, which include Ralph Lauren, Ralph Lauren Collection, Ralph Lauren Purple Label, Polo Ralph Lauren, Double RL, Lauren Ralph Lauren, Polo Ralph Lauren Children, Chaps, and Club Monaco, among others, constitute one of the world's most widely recognized families of consumer brands. For more information, go to http://corporate.ralphlauren.com."
1342,Bravura Solutions,3.6,306Reviews,212,11,8 office locations,1001 to 5000 Employees,Enterprise Software & Network Solutions,"Since inception in 2004, Bravura Solutions has amassed an impressive list of achievements and milestones.

We have successfully completed nine acquisitions, were listed on the ASX for seven years and launched new products. Since our humble beginnings as a small Australian organisation, we have expanded to become a leading global supplier of software and professional services for superannuation, pension, life insurance, investment, private wealth, transfer agency and financial messaging, employing over 750 people in 16 offices across 10 countries.

Our vision is to create and deliver modern, open, agile business solutions that provide an enduring competitive advantage to clients by combining compelling functionality with modern technology.

Our day-to-day operations – across geographies, offices, departments, teams and individuals revolve around the pursuit of this vision and mission."
1343,ATMECS,3.7,279Reviews,240,--,"Headquarters in Hyderābād, India",501 to 1000 Employees,Information Technology Support Services,
1344,Doubletree By Hilton,3.6,1.8TReviews,49,1.5T,25 office locations,5001 to 10000 Employees,Hotels & Resorts,"DoubleTree by Hilton hotels around the globe welcome guests with our signature, warm chocolate chip cookie. When you stay at a DoubleTree, you feel welcome and cared for. That’s the power of Team Members who truly care and are dedicated to making your stay the very best."
1345,Bob Evans Restaurants,3.7,3TReviews,34,4.6T,"Headquarters in New Albany, United States",10000+ Employees,Restaurants & Cafes,
1346,Havas Media,3.8,1.4TReviews,47,35,11 office locations,5001 to 10000 Employees,Advertising & Public Relations,"Havas Media is the lead agency in the world’s fastest growing media group. We operate in 144 countries and grew our activity by almost 12% from 2014 to 2015, compared with the average agency growth-rate of around 9%. 

As with any successful team, we benefit from the support of more than 20,000 talented individuals worldwide who specialize in digital, data, content, sports, experiential and more.

We shine as individuals and excel when working together as part of a collaborative force.

Our core strengths here at Havas Media lie in our ability to unite brands and people through meaningful connections and to drive business success.

To achieve this, we redefine the strategic roles of owned, shared, earned and paid media for better results. It’s a method all Havas Media Group companies invest in and something we all call, Organic Marketing."
1347,ENGIE,3.8,3.6TReviews,30,1.8T,27 office locations,10000+ Employees,Energy & Utilities,ENGIE is a leading world group that provides low-carbon energy with sustainable energy. Our aim is to achieve #NetZeroCarbon by 2045.
1348,The Muthoot Pappachan Group,3.5,341Reviews,303,--,2 office locations,10000+ Employees,Investment & Asset Management,
1349,Matrix ComSec,3.6,299Reviews,282,--,"Headquarters in Vadodara, India",201 to 500 Employees,Electronics Manufacturing,
1350,Charles Schwab,4.1,5.2TReviews,15,229,24 office locations,10000+ Employees,Investment & Asset Management,"Financial services can be complicated. At Charles Schwab, we’re trying to fix that. We have a history of challenging the status quo and innovating in ways that help individuals create a better tomorrow."
1351,Avnet,4.0,1.4TReviews,42,361,20 office locations,10000+ Employees,Consumer Electronics & Appliances Stores,"Avnet guides today’s ideas into tomorrow’s technology. We design and manufacture for start-ups – the technology dreamers poised to be the next big thing. And we supply and deliver for the contract manufacturers and OEMs who need to stock shelves around the globe.
Our culture was founded on new ideas and emerging technology. 15,000 people strong in 125 countries across North America, Europe and Asia. Our engineers are on the front lines of innovation, supported by sales, supply-chain, design-chain and service teams with deep expertise – making Avnet the go-to guide for innovators who set the pace for technological change.
Wherever you are in the technology product lifecycle, collaborating with Avnet can help you reach further.
Explore the possibilities at www.avnet.com."
1352,ESPN,4.1,1.5TReviews,45,4,9 office locations,1001 to 5000 Employees,Film Production,"ESPN is a superstar of the sports broadcasting world. The company is the leading cable sports broadcaster, reaching about 100 million US viewers per month with its stable of channels, including ESPN, ESPN2, and ESPN Classic. The 24-hour networks carry a variety of live sporting events, as well as programs devoted to news and analysis. ESPN also creates original programming for TV and radio, and lends content for ESPN.com, one of the most popular sports sites on the Internet. Its international operations extend the ESPN brand to another 200 countries. ESPN is 80% owned by Walt Disney (through ABC); media conglomerate Hearst has a 20% stake."
1353,Polaris,3.8,915Reviews,70,365,17 office locations,10000+ Employees,Transportation Equipment Manufacturing,"As the global leader in Powersports, Polaris Inc. (NYSE: PII) pioneers product breakthroughs and enriching experiences and services that have invited people to discover the joy of being outdoors since our founding in 1954. With annual 2019 sales of $6.8 billion, Polaris’ high-quality product line-up includes the Polaris RANGER®, RZR® and Polaris GENERAL™ side-by-side off-road vehicles; Sportsman® all-terrain off-road vehicles; Indian Motorcycle® mid-size and heavyweight motorcycles; Slingshot® moto-roadsters; snowmobiles; and deck, cruiser and pontoon boats, including industry-leading Bennington pontoons. Polaris enhances the riding experience with parts, garments, and accessories, along with a growing aftermarket portfolio, including Transamerican Auto Parts. Polaris’ presence in adjacent markets includes military and commercial off-road vehicles, quadricycles, and electric vehicles. Proudly headquartered in Minnesota, Polaris serves more than 100 countries across the globe. www.polaris.com"
1354,Sartorius,3.8,609Reviews,93,177,86 office locations,10000+ Employees,Biotech & Pharmaceuticals,"As one of the fastest growing global life science companies and a dynamic industry leader, Sartorius is the go-to place for ambitious people who want to make a contribution and move things forward: We offer the chance for you to be ambitious, to grow and to make an impact with your ideas.

Our ambition is to simplify medical progress from the first idea to production. We support our customers with innovative technologies that make the development and manufacture of innovative therapeutics faster and more efficient. So that more people have access to better medicine. About 16,000 employees at over 60 production and sales locations worldwide are committed to this vision. 

With numerous job openings worldwide - from sales to software development - which one will you choose to find more space for you to develop?

Join our global team.
www.sartorius.com/careers"
1355,Springworks,4.5,342Reviews,225,--,"Headquarters in Los Angeles, United States",201 to 500 Employees,Internet & Web Services,"Springworks is an HR Tech company building for the future of HR. Our USP lies in our DNA to create cutting-edge products that leverage best-in-class technologies with a strong, people-centric approach.

Springworks has built a full suite of connected HR products, both in the pre-hiring (Sourcing / Applicant Tracking, Blockchain enabled Instant KYC &amp; Background Screening) and post-hiring space (Employee Engagement especially for Remote Teams)."
1356,GCMMF,3.9,342Reviews,269,1,10 office locations,1001 to 5000 Employees,Wholesale,
1357,Apptio,4.2,500Reviews,102,52,4 office locations,1001 to 5000 Employees,Enterprise Software & Network Solutions,"Apptio is the independent software-as-a-service leader in technology business management (TBM), a new category and discipline backed by global IT leaders that helps you understand the cost, quality, and value of the services you provide."
1358,Springer Nature Technology and Publishing Solutions,3.9,302Reviews,244,--,"Headquarters in Pune, India",1001 to 5000 Employees,Computer Hardware Development,"We are the technology and publishing solutions arm of the Springer Nature Group. With a focus on technology driven solutions and deep insight in the publishing domain, we offer a range of services that help all our Springer Nature brands acquire, produce and deliver content in the most efficient way possible. From manuscript screening to database management and workflow systems that optimize the publishing cycle, we custom build solutions for our various products ranging from pre-production to post-publication.

Our aim is to help researchers, students, teachers and professionals to discover, learn and achieve more in their field of study and work. We lead, enhance and optimize through actions driven by values of excellence, relevance, innovation and incubation. 

We are an ISO 9001 and 27001 registered company."
1359,ZenQ,3.9,258Reviews,200,--,"Hyderābād, TG",501 to 1000 Employees,Information Technology Support Services,"Incorporated in June 2003, ZenQ is a leading provider of information technology services to clients across the globe. We offer a comprehensive range of value-added outsourcing solutions that are of the highest quality and efficiency, to help our customers build quality products. 

Staffed with a dedicated team of over 500 skilled and experienced professionals, we bring several years of experience in developing customized solutions tailored to your business requirements. With offices in the US, Canada and India, we serve clients across the globe."
1360,Ribbon Communications,3.8,348Reviews,225,29,"Headquarters in Fremont, United States",Unknown,Enterprise Software & Network Solutions,
1361,Optimus Information,4.3,391Reviews,161,8,"7th Floor, Pinnacle Tower, A-42/6, Block A, Sector 62",51 to 200 Employees,Information Technology Support Services,
1362,Toyota North America,4.0,3.6TReviews,31,893,19 office locations,10000+ Employees,Transportation Equipment Manufacturing,"We believe mobility is core to the human experience. We believe that when we are free to move, anything is possible. We are driven to innovate and transform to deliver world-class products and services that provide joy through mobility. We believe in doing the right thing, even when it’s hard or seems impossible. In everything we do, we strive to make the world a better place by producing happiness for people and society; happiness for all."
1363,Xoxoday,4.0,262Reviews,224,13,7 office locations,201 to 500 Employees,Enterprise Software & Network Solutions,"Xoxoday is a rapidly growing fintech SaaS firm that propels business growth while focusing on human motivation. 

Backed by Giift and Apis Partners Growth Fund II, Xoxoday offers a suite of three products - Plum, Empuls, and Compass. Xoxoday works with more than 2000 clients across 10+ countries and over 2.5 million users. 

Headquartered in Bengaluru, Xoxoday is a 290+ member strong team with four global offices in San Francisco, Dublin, Singapore, New Delhi. www.xoxoday.com.

Our Products: 

Plum

Plum, a horizontal platform, helps automate rewards, incentives, and payouts programs at scale from the flow of work. 

Find out more here: https://www.xoxoday.com
--------------------
Empuls

A vertical platform enabling organizations to build an engaged workplace, where everyone is aligned, motivated, empowered, and connected.

Find out more here: https://www.empuls.io/
--------------------
Compass

A platform automating and gamifying sales incentives and commissions for sales teams. 

Find out more here: https://www.getcompass.ai/
--------------------"
1364,bebo Technologies,4.0,328Reviews,216,5,2 office locations,501 to 1000 Employees,Computer Hardware Development,"Bebo- Be Extension, Be Offshore

bebo Technologies provides teams of dedicated software engineers who know how to satisfy client product engineering needs with efficient management skills and software product engineering methodologies.

bebo is a ISO 9001:2015 compliant organisation.
bebo is a member of NASSCOM.
bebo is a winner of HR Best Practices award by TieCON for the year 2016.
bebo is a multinational software engineering organization having offices in India, USA and Mexico.
bebo is 750+ members strong as per 2019 records."
1365,Jaipur Rugs,4.7,330Reviews,199,5,6 office locations,501 to 1000 Employees,Textile & Apparel Manufacturing,"Headquartered in Jaipur and working with artisans spread across five Indian states, the company holds a branch in the United States called Jaipur Living. Through its worldwide distribution network, its rugs reach more than 60 countries around the world, from Milan to Paris, Beijing, and Moscow."
1366,Motilal Oswal Financial Services,3.8,299Reviews,360,--,"Headquarters in Mumbai, India",10000+ Employees,Investment & Asset Management,
1367,Inditex,3.6,1.9TReviews,35,74,"Headquarters in A Coruña, Spain",10000+ Employees,"Department, Clothing & Shoe Stores","Industria de Diseño Textil (Inditex) makes disposable chic fashions that are here today and gone tomorrow. The Spanish designer-cum-retailer uses technology and an armada of designers to master cheap chic. Inditex sells on a global scale, with some 4,900 shops in about 75 countries under eight different banners: Zara, Oysho, Massimo Dutti, Pull and Bear, Bershka, Stradivarius, Zara Home, and Uterqüe. Located mostly in Europe, the firm's stores answer to popular trends by telling designers in Spain what customers are asking for locally. Inditex responds in about two weeks with new designs. Amancio Ortega Gaona, Spain's wealthiest businessman, founded Zara in 1975 and later created Inditex as a holding company."
1368,Magic Software,3.9,344Reviews,188,--,2 office locations,1001 to 5000 Employees,Information Technology Support Services,"Magic EdTech helps its clients build digital learning products that are accessible, affordable, scalable, and measurable. Magic brings its expertise in technology, content, and platforms to design, build, test, and deliver the world’s premier digital learning products.

Our product development expertise and proven delivery excellence allow us to implement their digital mobile strategy to foster, optimize and enhance digital learning in schools across North America, UK, Europe, Australasia and Latin America.

Magic Software Inc. is a New York-based technology and content services company that has served the education publishing markets for over 27 years. Magic EdTech is the new logo of Magic Software Inc. that will focus on digital learning solutions and technology services to meet the needs of education and corporate businesses. The company has served over 200 clients worldwide and has built long-standing relationships with most of them over the last decade."
1369,Gilbarco Veeder-Root,3.8,499Reviews,133,7,6 office locations,1001 to 5000 Employees,Machinery Manufacturing,"Gilbarco Veeder-Root is the worldwide technology leader for retail and commercial fueling operations and services. We offer the broadest range of integrated solutions from the forecourt to the convenience store and head office. For more than 150 years, Gilbarco has earned the trust of its customers by providing long-term partnership, uncompromising support and proven reliability. In fact, we help manage the business and maximize the bottom lines for 19 of the top 20 convenience store operators in the U.S. Products include: Encore® retail fuel dispensers for traditional and alternative fuels, Applause™ digital merchandising, Passport® POS, Impulse™ upselling solution, FlexPay™ PCI and EMV-compliant payment systems, Gasboy® commercial dispensers and fleet management systems, Veeder-Root® tank gauges, Catlow® nozzles and magnetic break-aways and Red Jacket® submersible turbine pumps."
1370,Costco Wholesale,4.0,15.1TReviews,7,564,9 office locations,10000+ Employees,General Merchandise & Superstores,"Costco is a membership warehouse club, dedicated to bringing our members the best possible prices on quality brand-name merchandise. With hundreds of locations worldwide, Costco provides a wide selection of merchandise, plus the convenience of specialty departments and exclusive member services, all designed to make your shopping experience a pleasurable one."
1371,Barco,3.8,430Reviews,150,144,9 office locations,1001 to 5000 Employees,Electronics Manufacturing,"Enabling bright outcomes
Imagine a way to see, sense, and share the intangible. It’s what happens when big data becomes knowledge. When images become insight. And when experiences come to life.

That’s what Barco is all about.

In a world where data and rich content are expanding exponentially, we empower you with impressive visualization and innovative collaboration solutions to help you make meaningful connections.

For us, it’s you – the customer - that counts. We help you achieve your goals, whether it’s protecting the health and safety of millions, creating magical moments, or supporting people to work smarter together.

We help you get the most out of what you do every day. So together, we create brighter outcomes, around the world."
1372,Paramount,3.9,3.4TReviews,18,30,16 office locations,10000+ Employees,Film Production,"ViacomCBS International Media Networks UK & Ireland represent 20 channels that offer the very best in music, comedy and kids programming through its MTV, Comedy Central and Nickelodeon brands. The brands have been market leaders across the three primary genre groups for more than 10 years, reaching 22.9 million homes through SKY, cable and Freeview.

Our eleven branded music and entertainment channels comprise of MTV, MTV Music, MTV 1, MTV Rocks, MTV Classic, MTV Hits, MTV Dance, MTV Base, MTV Live HD, VH1 and VIVA. They feature the best in music alongside popular shows such as Pimp My Ride, The Hills, Jersey Shore, My Super Sweet 16 and Cribs. Comedy Central and Nickelodeon in the UK are part of the VIMN portfolio of channels through joint ventures with BSKYB."
1373,ASUS,3.7,1.2TReviews,71,107,27 office locations,10000+ Employees,Computer Hardware Development,"Established in 1989. The idea for the company that would eventually become ASUS began as a conversation in a coffee shop in Taipei, where a few ambitious engineers shared a dream of creating a “small and beautiful company”

As the business quickly developed, ASUS Chairman, Jonney Shih actively trained and mentored the company’s new engineers, focusing on advanced electronics theory and product development. With his passionate leadership the company continues its visionary journey into the era of smart technologies.

As the company expanded various product lines, it also developed a unique sub-brand called Republic of Gamers (ROG), a division dedicated to creating the world’s best gaming gear.

Today, the “small, beautiful company” that began in a cafe in 1989 is a global technology leader with more than 15,000 employees and continues to move forward in our relentless quest for perfection."
1374,RE/MAX,4.2,2.8TReviews,32,728,26 office locations,501 to 1000 Employees,Real Estate,"RE/MAX International knows there's no place like home, and it will help you get there. With some 90,000 real estate agents in a franchise network of independently owned offices in more than 75 nations, the real estate behemoth sells homes from Argentina to Zambia. Residential sales make up most of the company's business, but RE/MAX sells commercial property, too. RE/MAX also conducts real estate auctions and provides advisory and relocation services. The RE/MAX corporate logo, a red, white, and blue hot-air balloon, is more than symbolic: The company boasts the largest balloon fleet in the world. The company's colorful chairman Dave Liniger and vice chairman Gail Liniger co-founded RE/MAX in 1973."
1375,Nestaway Technologies,3.9,310Reviews,301,7,3 office locations,201 to 500 Employees,Real Estate,"Nestaway is India's largest ""managed home rental"" marketplace. We provide better rental solutions via design and technology. All Nestaway houses are fully furnished. ZERO brokerage. No maintenance hassles. Online rent payment. Free relocation to any Nestaway house across India. And all this at ordinary PG rental prices! For home owners, we promise verified tenants, easy home management via our App, and much higher rental income."
1376,KSB,3.8,431Reviews,164,27,2 office locations,10000+ Employees,Machinery Manufacturing,"The KSB Group is one of the leading producers of pumps, valves and related service offerings. Annual sales revenue is almost 2200 million euro.

More than 16,000 employees around the world work for maximum customer satisfaction in building services, industry and water utilities, the energy sector and mining. KSB is increasingly a service partner and provides complete hydraulic systems for water supply and drainage."
1377,Pratian Technologies,4.1,215Reviews,181,--,"Headquarters in Bengaluru, India",201 to 500 Employees,Enterprise Software & Network Solutions,
1378,Gracenote,3.6,496Reviews,129,245,"Headquarters in Emeryville, United States",1001 to 5000 Employees,Internet & Web Services,"Gracenote is the world’s leading entertainment data and technology company. Whether you know it or not, Gracenote is in your life. If you have used Google to search for a movie show time, set a DVR recording on your cable box, searched for a movie on Roku, listened to music on Apple Music or played music from your mobile device in your car, Gracenote likely connected you to that piece of content.  How?  

Gracenote powers the world’s top music services, consumer electronics companies, automakers, media companies and cable and satellite operators. At its core, Gracenote helps connect people with the digital entertainment they love. We do this by offering the largest database for music, sports, movies and TV shows, creating best in class services and technologies, all on a highly scalable platform.

To learn more, please visit: www.gracenote.com"
1379,AKQA,3.9,1TReviews,52,39,22 office locations,1001 to 5000 Employees,Advertising & Public Relations,"AKQA is a design and innovation company that employs 2,200 professionals across 20 countries. Awarded the Cannes Lions Grand Prix for Design in 2021, and named by Gartner as one of the world’s leading marketing agencies in 2021. Winner of Fast Company’s World Changing Ideas in 2021 and recognised as a Fast Company Best Workplace for Innovators in 2020. Most recently, AKQA was awarded the Great Place to Work Certification.

http://www.akqa.com/"
1380,Vistaar Technologies,3.9,201Reviews,225,3,2 office locations,201 to 500 Employees,Enterprise Software & Network Solutions,
1381,WPP,3.9,892Reviews,73,237,2 office locations,10000+ Employees,Advertising & Public Relations,"WPP is a creative transformation company. We use the power of creativity to build better futures for our people, planet, clients and communities. 

Our agencies operate in 110 countries, working with clients including 325 of the Fortune Global 500, all 30 of the Dow Jones 30, 62 of the NASDAQ 100 and 61 of the FTSE 100.

For more information, visit www.wpp.com.

Follow us on Twitter and Instagram: @wpp
LinkedIn: linkedin.com/company/wpp
Facebook: facebook.com/WPP"
1382,Reputation,4.8,372Reviews,118,18,7 office locations,501 to 1000 Employees,Enterprise Software & Network Solutions,"Reputation has over 250 integration partners and has forged strategic alliances with marquee-name brands, including Google, Facebook, JD Power, Amazon.com, and Web.com. Altogether, these partnerships amplify Reputation.com's credibility in the industry and provide new opportunities for innovation.

""It takes 20 years to build a reputation and five minutes to ruin it. If you think about that, you'll do things differently."" Warren Buffett

Why Work at Reputation?
•	We are an innovation engine with 31 technology patents, ranked in the top three of all competitors.
•	Our customer-centric focus has led to a nearly 200% revenue growth from 2016 to 2019.
•	The platform is used by three of the top five automotive OEMs and 16,000 auto dealerships, more than 250 healthcare systems, and over 100 leading property management firms.
•	We've raised over $117 million in funding from the same A-list venture capital firms that backed Google, Microsoft, and Intuit. 
•	Our executive management team is diverse and committed to building a performance-based culture where excellence is rewarded and careers are developed.
•	Who thrives at Reputation? Managers who embody a player-coach mentality. Employees who value teamwork and cross-functional collaboration. People who emphasize perseverance and hustle over quick wins and luck.

We are an equal opportunity employer and value diversity at our company. We do not discriminate based on race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status."
1383,MassMutual,4.0,2.3TReviews,33,141,9 office locations,5001 to 10000 Employees,Insurance Carriers,"When you join us at MassMutual, you're joining a leading mutual life insurance company that is run for the benefit of its members and participating policy owners.

Since our founding in 1851, we've had a single purpose: to help people secure their future and protect the ones they love. More than 170 years later, that commitment remains our guiding principle.

Living mutual is at the core of who we are and the belief that guides what we do."
1384,Amec Foster Wheeler,3.6,1.2TReviews,42,7,31 office locations,10000+ Employees,Energy & Utilities,"Describing Amec Foster Wheeler? Excellence in delivery, a highly-integrated and people oriented business, producing high-value solutions for our customers. 

We are 40,000 exceptionally talented people throughout our global operations;
150+ years of history, operating in over 50 countries. We serve the oil & gas, clean energy, environment & infrastructure and mining markets. Across these markets, we offer consultancy, engineering, project management, operations and construction services, project delivery and specialised power equipment services to our customers worldwide."
1385,QuisLex,4.3,365Reviews,256,2,"Headquarters in New York, United States",501 to 1000 Employees,Legal,"QuisLex is an award-winning legal services provider specializing in executing complex document review, contract management and compliance projects for corporations and law firms throughout the world. QuisLex has reviewed over 3 billion pages in support of litigations and investigations, and drafted, negotiated and reviewed hundreds of thousands of contracts in connection with compliance initiatives, M&A due diligence, and contract lifecycle management. Since 2004, QuisLex has been a pioneer in the offshore legal services industry. With over 900 attorneys, process experts, statisticians and linguists, QuisLex continues that tradition today by delivering solutions that reduce costs, mitigate risks, and enhance quality. Our expertise in providing these benefits has been recognized by both clients and the legal industry at large, including being consistently ranked by Chambers & Partners as a Band 1 legal outsourcing provider and the New York Law Journal as a top legal services provider."
1386,Tower Research Capital,4.0,248Reviews,163,11,10 office locations,1001 to 5000 Employees,Investment & Asset Management,"At Tower, we not only strive to excel at what we are doing, we thoroughly enjoy doing it. Tower’s main office and garden roof deck are located in TriBeCa, a neighborhood in downtown Manhattan. While we work hard, Tower’s cubicle-free workplace, jeans-clad workforce, and well-stocked kitchens reflect the premium the firm places on quality of life. Working at Tower is challenging and exciting, and we have worked hard to create an environment where collaboration and engagement are paramount, and encourage team members to share their experience and knowledge.

Our benefits include competitive compensation packages, 401(k) with company matching, generous vacation and holiday policies, free breakfast, lunch, and snacks on a daily basis, fitness reimbursement and free tickets to events."
1387,Decision Resources Group,3.9,438Reviews,120,1,12 office locations,1001 to 5000 Employees,Healthcare Services & Hospitals,"Decision Resources Group (DRG) has evolved from a group of pioneering healthcare data, research, technology, and consulting companies. Now, we’re a singular, unified team that is focused on solving the most complicated challenges in world health management. We are part of Clarivate, a global leader in providing trusted insights and analytics to accelerate the pace of innovation."
1388,Q3 Technologies,4.0,327Reviews,206,8,3 office locations,201 to 500 Employees,Information Technology Support Services,"Q3 technologies is focused on custom software products and applications development including technology consulting, enterprise applications development, application migration and modernization, end-to-end support & maintenance and IT/Infrastructure support services. For over 20 years we have helped our clients with their enterprise software and application needs with a growing focus on enterprise mobility, cloud migrations, analytics and big data solutions. 

Q3 Technologies is based out of Gurgaon, with development centers in Gurgaon and Jaipur and offices in the US, UK and Germany.  Q3 is a Microsoft Gold Certified partner, an ISO 9001:2008 certified company and a CMMi Level 3 organization."
1389,Renault Nissan Automotive India,3.8,333Reviews,303,--,"Headquarters in Chennai, India",5001 to 10000 Employees,Transportation Equipment Manufacturing,
1390,Quest Software,3.6,984Reviews,91,108,26 office locations,1001 to 5000 Employees,Enterprise Software & Network Solutions,"Quest creates software solutions that make the benefits of new technology real in an increasingly complex IT landscape. Quest helps customers solve their next IT challenge, from maximizing the value of their data, to Active Directory and Office 365 management, and cybersecurity resilience. Around the globe, more than 130,000 companies and 95% of the Fortune 500 count on Quest to become data empowered, deliver proactive management and monitoring for the next enterprise initiative, find the next solution for complex Microsoft challenges, and stay ahead of the next threat.

We're Quest Software. Where next meets now.

For more information, visit www.quest.com."
1391,Fluper,4.0,345Reviews,210,17,"Headquarters in Noida, India",51 to 200 Employees,Information Technology Support Services,"Fluper Ltd. is among the few Rapid and Affordable Web &amp; Mobile Application Design &amp; Development Companies which are keen to drive, energize &amp; transform the business of any scale ranging from individuals, startups, small medium enterprises &amp; organizations through most rapid, agile, affordable and qualified IT Services &amp; Solutions comprising of full range of Web &amp; Mobile Application Design &amp; Development Services including web &amp;  mobile app designing &amp;  development, android app development, iOS app development, blackberry development, windows development, e-commerce development, cms development, cross platform development using  .Net, Java, PHP etc. in verticals dispersing over Tours and Travels, Finance, Health, Education, News &amp; Media, Lifestyle, Music, Maps &amp; Navigation, On Demand Services, Augment Reality, Wearable &amp; iOT etc. with 250+ Project designed &amp;  developed successfully delivered across globe with 50+ Mobile App Projects &amp;  70+ Software Projects with 100+ Web Projects."
1392,Turing,4.0,484Reviews,129,547,1900 Embarcadero Road,501 to 1000 Employees,Software Development,"Turing pairs Silicon Valley-calibre remote software developers with prominent US tech companies. 300+ companies, including those backed by Google Ventures, Andreessen, Founders Fund, Kleiner, and Bloomberg, have hired Turing developers. 

Turing Hire Program: Turing developers are accomplished senior engineers who specialize in 100+ skill-sets, including, but not limited to, React, Node, Python, Angular, Swift, React Native, Android, Java, Rails, Golang, PHP, Vue, DevOps, and Machine Learning. Moreover, Turing remote developers are laboriously vetted over a series of tests and interviews that rival Silicon Valley’s vetting engine; we assess candidates’ Programming Skills, Data Structures, Algorithms, Software Specializations, and Framework knowledge, among other parameters. 

Turing Jobs Program: Talent exists in every pocket of the world - and Turing recognizes that. For more than 1,500,000 developers across 150 countries, Turing Jobs is the preferred platform to aid in their job-hunting endeavors. With Turing, talented developers have the opportunity to be part of a community of high-profile software engineers who have worked with the likes of Microsoft, Google, and Facebook and graduated from Ivy League institutions.  

For US software companies, hiring developers who rank among the top 1% of the world’s software engineers has never been easier. For talented developers, finding remote jobs at the world’s top companies is a cakewalk. Simply put, Turing makes the world flat for opportunity. Come be a part of this world."
1393,PlayStation,4.0,1.5TReviews,48,195,12 office locations,5001 to 10000 Employees,Video Game Publishing,"PlayStation has been at the forefront of interactive and digital entertainment since the debut of our first console in 1994. Our products delight millions across the world through incredible games, cutting edge experiences and access to many types of media.

This commitment to amazing our fans is at the core of who we are and one we share with Sony Corporation, internationally known as a leader in music, movies and consumer electronics. 

We can only achieve this goal by welcoming talented people and empowering them to do their best work. From game developers to data scientists, software engineers to cybersecurity experts, marketing to accounting and finance professionals, we’re always looking for talented people who share a passion for creating and our commitment to delivering amazement.

We’re headquartered in San Mateo, California, and our global workforce includes teams in offices across North America, Europe and Asia."
